timestamp,ecg_value,bpm,label,hrv,ecg_mean,ecg_std,bpm_range,signal_energy
167,0.2406,88.76,awake,23.45,0.2485,0.0449,4.96,3.1889
168,1.6882,73.85,awake,23.28,1.6996,0.0442,5.81,144.5285
169,-0.2889,82.41,awake,19.26,-0.2728,0.0444,6.83,3.8208
170,0.7325,63.65,deep,41.37,0.7251,0.0487,3.27,26.4061
171,1.0652,83.88,awake,7.94,1.0765,0.0449,3.91,58.0417
172,0.3837,58.69,deep,50.45,0.392,0.0572,8.95,7.8466
173,-0.1684,74.83,light,38.31,-0.1759,0.0486,5.92,1.6658
174,1.5007,81.49,awake,18.36,1.4897,0.0394,6.09,111.0326
175,0.1766,77.59,awake,21.84,0.1766,0.0486,7.7,1.6772
176,0.074,80.32,awake,19.32,0.0755,0.0534,4.11,0.4276
177,-0.0696,58.3,deep,50.36,-0.0608,0.0444,8.0,0.283
178,0.5858,86.46,awake,15.7,0.5827,0.0502,4.49,17.1045
179,-0.601,89.27,awake,16.03,-0.6,0.0536,3.98,18.1462
180,-0.2846,58.13,deep,58.07,-0.2936,0.0466,8.78,4.4198
181,0.3401,63.17,deep,59.59,0.3351,0.049,6.73,5.7331
182,-0.4862,87.29,awake,22.14,-0.4922,0.053,5.45,12.2524
183,0.4828,73.49,light,32.29,0.4925,0.0499,6.48,12.2537
184,0.5068,58.92,deep,54.62,0.5043,0.0546,5.21,12.8653
185,-0.0643,58.32,deep,71.52,-0.0655,0.0511,8.15,0.3447
186,0.2648,89.25,awake,19.88,0.256,0.0527,6.37,3.4165
187,-0.5429,78.36,light,36.25,-0.5357,0.0447,5.8,14.4471
188,1.188,87.2,awake,18.9,1.1998,0.0503,9.44,72.0986
189,0.2863,80.66,awake,23.43,0.287,0.054,8.66,4.2635
190,-0.1848,83.93,awake,17.16,-0.1843,0.059,6.67,1.8725
191,0.4354,58.69,deep,39.84,0.4315,0.0521,7.75,9.446
192,-0.6077,63.17,deep,66.81,-0.6167,0.05,8.94,19.143
193,0.0782,60.83,deep,52.69,0.0856,0.0458,9.91,0.4714
194,-0.2821,76.86,light,45.14,-0.2802,0.049,7.91,4.0471
195,1.9643,86.25,awake,27.09,1.9605,0.0513,7.79,192.316
196,-0.8291,72.8,light,39.94,-0.837,0.0517,7.13,35.1609
197,-0.2935,62.15,deep,60.62,-0.2907,0.056,4.09,4.3815
198,0.7366,69.53,light,32.04,0.733,0.051,9.52,26.9915
199,0.927,76.84,light,33.07,0.9228,0.0432,7.19,42.6721
200,-0.2584,90.45,awake,28.41,-0.2566,0.0501,5.1,3.4171
201,0.6325,60.43,deep,46.33,0.6267,0.0593,5.66,19.811
202,-0.6019,72.29,light,36.72,-0.5915,0.0419,7.07,17.5835
203,0.2795,61.05,deep,63.42,0.2833,0.0464,3.47,4.1199
204,0.0818,89.33,awake,18.33,0.0837,0.0513,9.24,0.4822
205,0.3985,87.84,awake,28.57,0.4003,0.0468,7.6,8.1218
206,0.1255,68.35,light,36.21,0.1251,0.0514,3.03,0.9148
207,0.5737,75.62,light,41.41,0.583,0.0529,8.42,17.1346
208,0.0393,85.99,awake,9.84,0.0415,0.0493,5.18,0.2074
209,-0.1455,58.59,deep,40.95,-0.1473,0.0496,7.71,1.208
210,-1.4175,77.89,light,26.87,-1.4191,0.0502,9.65,100.814
211,-1.2465,79.86,light,42.44,-1.2402,0.0493,9.04,77.031
212,1.2967,81.61,awake,19.61,1.2877,0.0507,7.4,83.0394
213,0.1291,59.9,deep,52.57,0.1338,0.0511,3.64,1.0257
214,0.2294,59.91,deep,45.62,0.2159,0.0515,6.43,2.4629
215,1.0233,73.91,light,37.53,1.0389,0.0529,3.6,54.1052
216,1.2396,89.32,awake,21.0,1.2358,0.0534,8.01,76.5032
217,-0.108,62.78,deep,71.66,-0.1166,0.0425,5.66,0.7701
218,0.5407,82.34,awake,23.14,0.536,0.0472,9.08,14.4784
219,0.8632,87.5,awake,17.4,0.8618,0.0403,5.0,37.2129
220,-0.5155,58.61,deep,54.82,-0.5159,0.0552,5.61,13.4611
221,-0.3944,72.66,light,21.15,-0.3949,0.0493,4.06,7.9196
222,0.8346,71.54,light,35.47,0.8364,0.0589,3.13,35.1493
223,0.412,75.32,light,38.08,0.4087,0.0412,3.87,8.4376
224,-1.5623,79.26,awake,17.8,-1.5603,0.0524,3.78,121.871
225,-0.4465,79.92,light,33.67,-0.448,0.0482,8.52,10.1502
226,1.0429,70.75,light,23.71,1.04,0.0569,3.11,54.2407
227,-0.4917,93.32,awake,19.92,-0.4984,0.0468,4.2,12.532
228,0.3202,86.21,awake,25.01,0.31,0.0502,6.16,4.9323
229,-0.8831,89.74,awake,23.18,-0.8822,0.0482,3.62,39.0311
230,1.0483,74.26,light,29.56,1.0459,0.0383,5.91,54.764
231,-0.7803,64.43,deep,55.98,-0.7962,0.0475,7.7,31.8061
232,-0.9469,61.36,deep,62.6,-0.9477,0.0572,5.21,45.0701
233,0.1428,59.75,deep,48.2,0.1589,0.0539,9.77,1.4074
234,-0.0977,56.67,deep,52.76,-0.0973,0.0427,3.04,0.5647
235,-0.7334,83.01,awake,22.38,-0.7214,0.047,5.33,26.1285
236,0.3889,72.01,light,37.65,0.3807,0.053,4.34,7.3885
237,-0.3906,75.78,light,27.65,-0.3864,0.054,4.23,7.612
238,0.5236,57.72,deep,62.03,0.519,0.0474,8.3,13.5788
239,0.5872,79.8,awake,23.59,0.5831,0.0566,3.98,17.1594
240,-0.3825,71.45,light,32.79,-0.3964,0.0536,9.59,8.0018
241,-0.5227,75.64,awake,29.88,-0.5193,0.0506,9.07,13.6119
242,0.1826,77.34,light,39.71,0.1815,0.04,8.83,1.7264
243,-1.0115,77.39,light,44.74,-1.0113,0.0497,9.59,51.2564
244,0.3187,87.99,awake,24.62,0.3154,0.0485,5.59,5.0928
245,0.0956,73.64,light,21.4,0.0872,0.0437,5.64,0.4756
246,0.6037,70.35,light,45.66,0.5984,0.045,7.42,18.0078
247,0.8453,73.76,light,35.0,0.8597,0.0457,3.4,37.0556
248,0.7723,72.17,light,35.05,0.7695,0.0586,3.12,29.782
249,0.0751,74.16,light,41.56,0.0684,0.048,4.65,0.3494
250,1.318,77.39,light,28.64,1.3183,0.0521,8.43,87.0305
251,0.9268,83.74,awake,18.05,0.9318,0.0463,9.68,43.5206
252,-0.1524,58.41,deep,54.5,-0.1517,0.0466,4.29,1.2596
253,-1.6558,75.7,light,36.59,-1.6587,0.0488,9.84,137.68
254,-0.1606,86.22,awake,15.83,-0.1549,0.0471,5.99,1.3103
255,-0.0458,80.26,awake,31.59,-0.0525,0.0529,4.92,0.2777
256,0.3327,83.73,awake,34.62,0.3283,0.0519,6.45,5.5238
257,1.4446,85.52,awake,18.98,1.4455,0.0563,7.77,104.6308
258,-0.2363,76.71,light,23.43,-0.2391,0.0507,7.36,2.987
259,0.0469,82.35,awake,15.07,0.0539,0.0415,4.59,0.2311
260,0.2868,72.38,light,33.31,0.2963,0.0439,6.29,4.4857
261,-0.6169,58.01,deep,66.85,-0.6079,0.0448,8.06,18.5772
262,-0.0804,59.88,deep,61.74,-0.0915,0.0469,9.6,0.5286
263,-0.1671,61.93,deep,61.22,-0.1611,0.0508,3.15,1.4264
264,0.5476,61.21,deep,50.42,0.5398,0.0362,3.44,14.6346
265,0.4895,82.4,awake,29.21,0.4882,0.0401,4.06,11.9956
266,-0.3934,58.61,deep,56.07,-0.3895,0.0534,9.17,7.7283
267,-0.239,57.92,deep,66.56,-0.244,0.054,4.42,3.1217
268,-0.511,87.88,awake,17.24,-0.5275,0.0475,5.87,14.0237
269,0.1771,76.27,light,39.26,0.1681,0.0508,8.84,1.5425
270,-0.0253,60.39,deep,58.32,-0.0245,0.042,5.07,0.118
271,0.0263,90.36,awake,21.71,0.012,0.0564,4.69,0.1663
272,0.2995,77.66,light,29.79,0.2995,0.0452,8.36,4.5857
273,0.1717,84.65,awake,27.25,0.1816,0.0491,6.57,1.7688
274,2.0899,76.11,light,41.5,2.0985,0.051,5.32,220.3227
275,0.1414,77.73,light,25.65,0.1395,0.0484,4.94,1.0905
276,-0.9401,81.89,light,30.88,-0.9292,0.0498,6.53,43.2922
277,0.2997,67.25,light,31.21,0.3001,0.0475,5.76,4.6162
278,-0.4146,89.94,awake,16.45,-0.4253,0.0416,3.49,9.1293
279,0.3809,72.48,light,43.23,0.3714,0.0443,8.33,6.9954
280,-0.3549,86.09,awake,18.98,-0.3462,0.0482,4.62,6.1087
281,-0.0813,85.26,awake,17.68,-0.0711,0.0555,7.83,0.4066
282,-0.9578,79.09,light,35.33,-0.9579,0.0525,3.75,46.0129
283,-0.1256,58.97,deep,41.83,-0.1391,0.0502,4.81,1.0931
284,0.1919,60.16,deep,52.23,0.1917,0.0481,3.38,1.9542
285,-0.0966,87.47,awake,15.84,-0.109,0.0468,6.19,0.7039
286,1.0367,88.14,awake,23.4,1.0433,0.0478,6.94,54.5351
287,-0.6927,62.17,deep,50.82,-0.6955,0.0527,7.28,24.323
288,0.5297,90.53,awake,16.48,0.5162,0.0456,6.63,13.4279
289,0.4519,73.1,light,49.33,0.4455,0.0544,7.58,10.0714
290,1.2854,62.33,deep,51.6,1.277,0.0461,5.5,81.6467
291,-0.3129,85.14,awake,21.43,-0.3145,0.0426,9.06,5.0352
292,1.1534,75.92,light,26.3,1.1551,0.0462,3.24,66.8217
293,-0.3228,77.78,light,25.8,-0.3301,0.0529,6.02,5.5886
294,-0.7548,59.66,deep,72.24,-0.7502,0.0498,7.44,28.2635
295,1.4266,85.09,awake,23.92,1.4252,0.0447,7.92,101.6648
296,0.3448,73.84,light,36.47,0.3432,0.0477,8.95,6.0042
297,0.2551,61.35,deep,54.5,0.2571,0.0541,5.52,3.4521
298,-0.0601,85.6,awake,14.73,-0.0697,0.0436,9.11,0.3381
299,-0.072,73.4,light,38.86,-0.0814,0.0423,9.24,0.421
300,-0.3632,77.21,light,37.86,-0.3576,0.058,9.57,6.5622
301,-1.9021,87.17,awake,20.82,-1.9197,0.052,5.38,184.4002
302,-0.3741,61.76,deep,45.17,-0.3689,0.0474,9.4,6.9161
303,-0.257,59.56,deep,49.04,-0.235,0.0525,5.22,2.8981
304,-0.0779,81.89,awake,11.25,-0.0683,0.0467,9.76,0.342
305,1.0316,84.86,awake,27.63,1.0366,0.0438,9.82,53.8214
306,0.6718,81.92,awake,13.07,0.668,0.054,7.82,22.4537
307,-0.632,61.71,deep,45.69,-0.6266,0.0527,7.51,19.7693
308,0.8052,79.26,light,38.47,0.8197,0.0534,4.14,33.7359
309,0.6757,79.71,awake,24.16,0.6702,0.0512,4.64,22.5924
310,0.9654,80.9,light,35.03,0.9694,0.0504,9.28,47.1102
311,1.2735,81.45,awake,15.84,1.2788,0.059,6.3,81.9349
312,1.4503,94.24,awake,19.46,1.4389,0.0564,5.13,103.6804
313,-0.6478,73.38,light,30.43,-0.6476,0.0499,5.16,21.0952
314,0.0994,60.18,deep,60.85,0.0905,0.0546,5.06,0.5583
315,-1.8347,88.44,awake,19.14,-1.8293,0.0519,3.54,167.4589
316,-0.9775,91.59,awake,18.16,-0.9732,0.0483,3.93,47.472
317,0.6903,81.48,awake,20.65,0.7087,0.0537,3.89,25.2583
318,0.8321,72.78,light,31.61,0.8326,0.0536,6.62,34.8014
319,-0.4016,60.78,deep,58.1,-0.408,0.0478,4.62,8.437
320,0.8206,77.23,light,41.4,0.825,0.0494,9.9,34.1531
321,0.291,81.1,awake,20.12,0.2832,0.0481,3.53,4.1266
322,0.1288,87.38,awake,23.55,0.1238,0.0463,3.81,0.8733
323,0.7152,85.15,awake,18.82,0.7066,0.0409,9.13,25.0482
324,-0.7274,81.55,awake,13.13,-0.7178,0.0522,3.45,25.8981
325,-0.3579,65.19,deep,41.18,-0.3592,0.039,5.85,6.529
326,0.7193,80.41,light,42.0,0.7182,0.0507,6.24,25.921
327,0.2902,62.25,deep,62.43,0.2896,0.0515,4.88,4.3268
328,0.218,61.41,deep,50.94,0.2275,0.0416,4.06,2.6732
329,-0.5611,58.24,deep,54.19,-0.5607,0.0586,8.75,15.8902
330,0.7492,89.46,awake,22.12,0.7508,0.0493,3.1,28.3037
331,0.6655,75.51,light,30.68,0.6514,0.0445,6.14,21.313
332,1.2569,75.28,light,38.53,1.2543,0.0467,4.09,78.7769
333,0.0893,87.86,awake,18.65,0.0968,0.0501,4.26,0.594
334,0.5254,68.48,light,34.67,0.5258,0.0452,5.63,13.9241
335,-0.2411,63.37,deep,56.24,-0.2456,0.0479,6.06,3.1317
336,-0.5686,81.82,awake,28.0,-0.5691,0.05,9.28,16.3197
337,0.5894,57.41,deep,41.81,0.5792,0.0496,5.86,16.8956
338,0.6542,87.25,awake,27.11,0.6508,0.0474,3.4,21.2893
339,-0.6418,56.69,deep,57.69,-0.6361,0.0423,4.42,20.3196
340,-1.0573,77.78,light,48.32,-1.0427,0.0515,7.72,54.4913
341,-0.5738,75.42,light,38.54,-0.5707,0.0493,9.39,16.4048
342,-0.4088,60.65,deep,54.46,-0.4292,0.045,6.05,9.3128
343,0.6045,60.08,deep,44.11,0.5935,0.05,9.24,17.74
344,-0.3476,56.02,deep,56.16,-0.3436,0.0511,3.78,6.0327
345,0.4318,86.78,awake,23.66,0.4319,0.0495,9.05,9.4509
346,-0.6914,59.91,deep,38.4,-0.6954,0.046,4.22,24.2824
347,0.1398,60.18,deep,42.79,0.1327,0.0424,8.79,0.9709
348,-0.5332,61.97,deep,62.67,-0.5323,0.0491,7.11,14.286
349,0.6082,82.61,awake,22.24,0.6221,0.0492,6.52,19.4705
350,0.211,72.94,light,38.82,0.2216,0.043,6.3,2.547
351,0.3512,73.54,light,38.6,0.362,0.0534,4.97,6.6929
352,0.8853,77.03,light,41.41,0.8927,0.048,9.68,39.9579
353,1.0727,77.01,light,30.34,1.0788,0.0532,7.23,58.3327
354,0.2178,57.49,deep,47.39,0.2207,0.0533,3.45,2.5768
355,0.8252,59.26,deep,67.67,0.8247,0.0385,4.1,34.0817
356,0.3011,59.86,deep,48.94,0.3072,0.0359,4.04,4.7837
357,0.7911,84.83,awake,21.43,0.7989,0.0456,5.45,32.0145
358,2.4314,87.28,awake,16.54,2.431,0.0489,4.38,295.6146
359,0.0451,56.67,deep,47.34,0.056,0.0465,9.71,0.265
360,0.2709,77.2,light,28.09,0.2709,0.0489,6.45,3.7899
361,-0.6104,58.65,deep,67.59,-0.6062,0.0507,5.22,18.5051
362,-1.3364,83.51,awake,24.6,-1.3423,0.0463,4.0,90.192
363,0.5215,61.4,deep,44.5,0.5309,0.0536,4.55,14.2336
364,0.9157,73.92,light,38.72,0.9057,0.0529,4.29,41.1524
365,0.4075,80.21,light,38.97,0.4073,0.0536,4.14,8.4388
366,-0.434,85.49,awake,25.92,-0.4233,0.0446,3.68,9.0603
367,0.599,74.98,light,39.31,0.5977,0.0511,9.09,17.9923
368,-0.7274,84.83,awake,15.4,-0.7292,0.051,4.78,26.7189
369,0.2019,77.37,light,34.31,0.2037,0.0476,6.33,2.187
370,0.3847,72.76,light,33.29,0.3878,0.045,6.57,7.6196
371,-0.3639,57.69,deep,73.45,-0.3593,0.0538,4.87,6.5989
372,0.5724,73.57,light,33.87,0.5681,0.0519,3.99,16.2715
373,-0.2097,61.6,deep,47.43,-0.1924,0.0531,6.23,1.9921
374,-1.5314,80.09,awake,15.7,-1.5399,0.0546,6.99,118.7183
